logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
av boa viagem;5554;apto 0802 edf sobrado da praia;1885000,00;Boa Viagem;Recife;PE;1983;997,5;398,33;0,06648;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-28;Bom;Apartamento;742500,00;11720;-8.137515;-34.902477;2025
av boa viagem;5600;apto 0304 edf velasquez;850000,00;Boa Viagem;Recife;PE;1973;1326;204,83;0,02304;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-15;Bom;Apartamento;0,00;11720;-8.137893;-34.902458;2025
av boa viagem;5600;apto 0602 edf velasquez;820000,00;Boa Viagem;Recife;PE;1973;1326;204,83;0,02304;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-15;Bom;Apartamento;0,00;11720;-8.137893;-34.902458;2025
av boa viagem;5600;apto 0601 edf velasquez;830000,00;Boa Viagem;Recife;PE;1973;1326;214,29;0,0241;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-29;Bom;Apartamento;0,00;11720;-8.137893;-34.902458;2025
av boa viagem;5680;apto 401 res carmen costa;1300000,00;Boa Viagem;Recife;PE;2021;2876;298,87;0,01694;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-25;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5680;apto 1602 res carmen costa;3800000,00;Boa Viagem;Recife;PE;2021;2876;298,87;0,01694;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-04;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5680;apto 3001 res carmen costa;8000000,00;Boa Viagem;Recife;PE;2021;2876;498,46;0,01855;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-05;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5680;apto 3001 res carmen costa;8000000,00;Boa Viagem;Recife;PE;2021;2876;498,46;0,01855;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-15;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5680;apto 2201 res carmen costa;3187262,09;Boa Viagem;Recife;PE;2021;2876;298,87;0,01694;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-22;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5680;apto 1501 res carmen costa;3050414,14;Boa Viagem;Recife;PE;2021;2876;298,87;0,01694;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-08;Bom;Apartamento;0,00;11720;-8.138517;-34.902832;2025
av boa viagem;5710;apto 1103 edf saint michel;800000,00;Boa Viagem;Recife;PE;1978;1449;166,82;0,02176;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-14;Bom;Apartamento;0,00;11720;-8.13878;-34.902934;2025
av boa viagem;5710;apto 0503 edf saint michel;790000,00;Boa Viagem;Recife;PE;1978;1449;166,82;0,02176;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-26;Bom;Apartamento;540000,00;11720;-8.13878;-34.902934;2025
av boa viagem;5710;apto 0302 edf saint michel;750000,00;Boa Viagem;Recife;PE;1978;1449;175,61;0,02291;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-21;Bom;Apartamento;0,00;11720;-8.13878;-34.902934;2025
rua setubal;777;apto 0403 edf boa viagem flat;400000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-16;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0902 edf boa viagem flat;290000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-09;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0102 edf boa viagem flat;250000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-01;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
